loc,mdate,SO2,CO,O3,NO2,PM10,PM25
632132,2015010101,0.005,0.6,0.025,0.005,33,11
632132,2015010102,0.006,0.6,0.023,0.005,35,8
632132,2015010103,0.005,0.7,0.022,0.005,37,9
632132,2015010104,0.006,0.6,0.021,0.005,42,11
632132,2015010105,0.005,0.6,0.021,0.005,47,8
632132,2015010106,0.005,0.6,0.02,0.006,47,7
632132,2015010107,0.005,0.6,0.02,0.006,50,11
632132,2015010108,0.005,0.6,0.018,0.007,59,9
632132,2015010109,0.006,0.6,0.018,0.007,60,6
632132,2015010110,0.006,0.6,0.019,0.006,65,5
632132,2015010111,0.004,0.6,0.02,0.006,64,5
632132,2015010112,0.005,0.6,0.02,0.006,77,8
632132,2015010113,0.005,0.6,0.021,0.006,76,11
632132,2015010114,0.005,0.6,0.021,0.006,92,12
632132,2015010115,0.005,0.6,0.021,0.007,97,9
632132,2015010116,0.004,0.6,0.021,0.009,96,6
632132,2015010117,0.005,0.6,0.02,0.01,86,6
632132,2015010118,0.005,0.6,0.02,0.01,80,11
632132,2015010119,0.005,0.6,0.021,0.01,66,18
632132,2015010120,0.004,0.6,0.02,0.011,55,8
632132,2015010121,0.004,0.6,0.021,0.01,54,8
632132,2015010122,0.003,0.6,0.022,0.008,47,8
632132,2015010123,0.004,0.6,0.021,0.008,46,5
632132,2015010124,0.004,0.6,0.022,0.007,38,7
632132,2015010201,0.004,0.6,0.022,0.007,48,9
632132,2015010202,0.005,0.6,0.023,0.007,39,7
632132,2015010203,0.004,0.6,0.023,0.006,42,8
632132,2015010204,0.004,0.6,0.024,0.006,35,8
632132,2015010205,0.004,0.6,0.024,0.006,36,7
632132,2015010206,0.004,0.6,0.026,0.006,29,7
632132,2015010207,0.005,0.6,0.024,0.007,29,7
632132,2015010208,0.005,0.6,0.021,0.01,27,7
632132,2015010209,0.005,0.6,0.02,0.01,29,7
632132,2015010210,0.005,0.6,0.021,0.012,30,9
632132,2015010211,0.005,0.6,0.024,0.008,37,8
632132,2015010212,0.005,0.6,0.029,0.004,18,3
632132,2015010213,0.006,0.6,0.028,0.007,27,3
632132,2015010214,0.005,0.6,0.029,0.006,27,9
632132,2015010215,0.006,0.6,0.029,0.006,28,9
632132,2015010216,0.006,0.7,0.028,0.009,23,6
632132,2015010217,0.008,0.9,0.025,0.011,25,8
632132,2015010218,0.009,0.8,0.02,0.018,29,6
632132,2015010219,0.008,0.7,0.017,0.019,25,7
632132,2015010220,0.006,0.7,0.02,0.014,27,9
632132,2015010221,0.005,0.6,0.022,0.012,31,10
632132,2015010222,0.005,0.6,0.025,0.008,29,8
632132,2015010223,0.005,0.6,0.025,0.008,29,8
632132,2015010224,0.005,0.6,0.025,0.008,31,8
632132,2015010301,0.004,0.7,0.027,0.006,27,5
632132,2015010302,0.006,0.7,0.027,0.006,25,5
632132,2015010303,0.006,0.7,0.027,0.006,27,7
632132,2015010304,0.005,0.7,0.027,0.005,25,9
632132,2015010305,0.006,0.6,0.027,0.005,25,7
632132,2015010306,0.007,0.7,0.025,0.008,26,4
632132,2015010307,0.007,0.7,0.021,0.011,20,2
632132,2015010308,0.008,0.7,0.013,0.021,25,5
632132,2015010309,0.006,0.7,0.014,0.02,27,9
632132,2015010310,0.004,0.6,0.024,0.011,25,8
632132,2015010311,0.004,0.6,0.027,0.008,24,9
632132,2015010312,0.004,0.6,0.028,0.009,29,7
632132,2015010313,0.004,0.6,0.028,0.008,26,3
632132,2015010314,0.004,0.6,0.029,0.008,30,5
632132,2015010315,0.004,0.6,0.029,0.008,21,4
632132,2015010316,0.004,0.6,0.028,0.01,17,1
632132,2015010317,0.005,0.6,0.024,0.013,19,3
632132,2015010318,0.005,0.7,0.024,0.012,23,6
632132,2015010319,0.004,0.7,0.025,0.01,26,7
632132,2015010320,0.005,0.7,0.024,0.011,35,9
632132,2015010321,0.005,0.7,0.022,0.014,37,11
632132,2015010322,0.006,0.8,0.018,0.017,35,12
632132,2015010323,0.005,0.7,0.02,0.015,39,14
632132,2015010324,0.005,0.7,0.023,0.011,43,15
632132,2015010401,0.006,0.7,0.027,0.008,39,19
632132,2015010402,0.005,0.6,0.028,0.007,39,16
632132,2015010403,0.005,0.7,0.029,0.007,38,18
632132,2015010404,0.004,0.7,0.03,0.005,31,17
632132,2015010405,0.005,0.8,0.028,0.007,31,13
632132,2015010406,0.007,0.9,0.023,0.012,32,17
632132,2015010407,0.013,1.3,0.011,0.026,39,15
632132,2015010408,0.015,1.5,0.002,0.038,40,18
632132,2015010409,0.018,1.6,0.005,0.039,53,22
632132,2015010410,0.024,1.7,0.009,0.038,56,27
632132,2015010411,0.008,0.7,0.026,0.012,69,30
632132,2015010412,0.006,0.7,0.03,0.01,43,14
632132,2015010413,0.006,0.8,0.033,0.008,44,11
632132,2015010414,0.007,0.7,0.031,0.011,38,11
632132,2015010415,0.007,0.7,0.035,0.009,44,14
632132,2015010416,0.008,0.7,0.036,0.01,50,20
632132,2015010417,0.009,0.8,0.034,0.013,58,24
632132,2015010418,0.009,0.8,0.026,0.02,63,27
632132,2015010419,0.009,0.8,0.025,0.022,66,31
632132,2015010420,0.009,0.8,0.029,0.016,72,38
632132,2015010421,0.009,0.8,0.029,0.015,63,31
632132,2015010422,0.01,1,0.028,0.015,67,38
632132,2015010423,0.011,1.1,0.028,0.014,68,NA
632132,2015010424,0.011,1.1,0.029,0.012,72,30
632132,2015010501,0.011,0.9,0.03,0.01,67,33
632132,2015010502,0.011,0.9,0.029,0.009,68,33
632132,2015010503,0.009,0.9,0.029,0.009,74,37
632132,2015010504,0.009,0.9,0.028,0.009,78,37
632132,2015010505,0.011,0.9,0.027,0.01,67,32
632132,2015010506,0.01,0.9,0.026,0.009,67,27
632132,2015010507,0.01,1,0.022,0.014,71,31
632132,2015010508,0.011,1.1,0.014,0.023,71,30
632132,2015010509,0.013,1.1,0.009,0.029,71,31
632132,2015010510,0.012,1.1,0.011,0.028,73,33
632132,2015010511,0.012,1,0.018,0.022,77,35
632132,2015010512,0.015,1.1,0.018,0.025,73,32
632132,2015010513,0.011,0.9,0.018,0.025,71,31
632132,2015010514,0.011,1,0.013,0.031,68,20
632132,2015010515,0.009,0.9,0.015,0.031,73,27
632132,2015010516,0.006,0.8,0.018,0.027,70,26
632132,2015010517,0.008,0.9,0.008,0.038,62,19
632132,2015010518,0.005,0.8,0.02,0.024,65,19
632132,2015010519,0.006,0.9,0.017,0.027,38,12
632132,2015010520,0.008,0.9,0.013,0.032,34,13
632132,2015010521,0.007,0.8,0.033,0.011,38,13
632132,2015010522,0.007,0.7,0.034,0.01,34,11
632132,2015010523,0.006,0.7,0.035,0.009,40,12
632132,2015010524,0.005,0.8,0.036,0.009,45,18
632132,2015010601,0.006,0.8,0.041,0.008,39,24
632132,2015010602,0.005,0.8,0.044,0.006,34,21
632132,2015010603,0.006,0.8,0.044,0.006,27,18
632132,2015010604,0.007,1.1,0.041,0.008,31,22
632132,2015010605,0.008,1.4,0.034,0.009,29,18
632132,2015010606,0.007,1.1,0.031,0.011,30,23
632132,2015010607,0.011,1.1,0.026,0.015,26,16
632132,2015010608,0.012,1,0.024,0.015,39,22
632132,2015010609,0.011,1,0.023,0.015,39,28
632132,2015010610,0.01,1,0.023,0.014,44,26
